,机构名称,学校机构办学类型,经度,纬度
374,上海市浦东新区惠南小学,小学,121.738612944033,31.069272673600707
375,闵行区莘庄镇小学,小学,121.37218020977744,31.10597442511506
376,上海市闵行区华坪小学,小学,121.41905589126156,31.002319598673385
377,上海市闵行区中心小学,小学,121.42309958218215,31.00654832420863
378,闵行区七宝镇明强小学,小学,121.35667698814616,31.15572326051088
379,上海市闵行区七宝明强第二小学,小学,121.34810776538716,31.170568194728432
380,上海市浦东新区张江高科实验小学,小学,121.58973094879984,31.203262199072906
381,上海市浦东新区合庆镇中心小学,小学,121.71135116982826,31.23839238478841
382,上海市黄浦区北京东路小学,小学,121.480411981909,31.242306368382824
383,上海市浦东新区周浦小学,小学,121.57832891389225,31.120235521797458
384,上海市嘉定区马陆小学,小学,121.27571832841306,31.32522569182239
385,上海市浦东新区康桥小学,小学,121.56810077594906,31.125258536712757
386,上海市浦东新区向阳小学,小学,121.73749819195382,30.97137831567493
387,上海市闵行区曹行小学,小学,121.4092823462091,31.093420796764008
388,上海市黄浦区新凌小学,小学,121.48264091461728,31.205394205742337
389,上海市松江区第三实验小学,小学,121.18762449838171,31.0171351083276
390,上海市宝山区大场镇小学,小学,121.40738058155176,31.30783306868236
391,上海市崇明区陈家镇小学,小学,121.79876500570748,31.503903674156565
392,上海市闵行区申莘小学,小学,121.37784738593413,31.09127839484201
393,上海市嘉定区方泰小学,小学,121.20615671618722,31.31905781533913
394,上海市宝山区嘉华小学,小学,121.41134537072158,31.270300381446134
395,上海市宝山区同达小学,小学,121.42062534427599,31.40970726088968
396,上海市宝山区石洞口小学,小学,121.39664227180447,31.45264720564981
397,上海市嘉定区真新小学,小学,121.36712978066265,31.25533191052799
398,上海市嘉定区封浜小学,小学,121.2941772414135,31.271416966102663
399,同济大学附属实验小学,小学,121.15936072582149,31.28008352225205
400,上海市虹口区祥德路小学,小学,121.48412640313641,31.27277887732137
