,地址,经度,纬度
肯德基(中房金谊广场),上南路4467弄20号中房金谊广场F1层,121.50948212594031,31.14235518256576
肯德基(蓝村路店),东方路1367号富都广场一层铺位号L1-6A,121.52498471671197,31.21391630742243
肯德基(秀沿店),康桥镇秀沿路2526号全季酒店一楼,121.59960872079795,31.139420392608308
肯德基(联洋店),芳甸路193号证大大拇指广场1层,121.55456736738547,31.229590438843154
肯德基(益丰店),高科中路2860号家乐福,121.63445579963529,31.206007944989818
肯德基(长岛店),长岛路1156-1158号金桥翡翠坊F1层,121.58799324173542,31.262963288978387
肯德基(五莲店),张杨北路801号文峰广场F1-F2层,121.5832443625446,31.274842561176317
肯德基(通园店),张杨北路5537号,121.57011547191894,31.34551859026965
肯德基(成山店),成山路436号(近云台路),121.50122505297938,31.174032235399114
肯德基(罗山店),博山东路50-1号,121.55556285118044,31.249283129799014
肯德基(浦三店),浦东南路2551号,121.50679876667216,31.200242658336226
肯德基(永泰店),东明路2655号(东明路永泰路),121.52174987245395,31.145453251790926
肯德基(莲花店),上南路3521弄B栋卜蜂莲花1层,121.49848565199026,31.15685891970213
肯德基(乳山店),乳山路136号(近东方路),121.51943540745826,31.238077958904533
肯德基(昌里店),上南路1160号,121.49073918598134,31.175859904362536
肯德基(金湘店),新金桥路1088号中惠广场A102-202室,121.60568370815113,31.255305052797077
肯德基(由由店),杨高南路1685号永旭商务中心1层,121.52304583431783,31.196915386414418
肯德基(御桥店),沪南路2420号百联东郊购物中心F1层,121.55986124547223,31.15538466641042
肯德基(人民店),惠南镇人民东路2635弄152-158号,121.76464969212194,31.051257488464216
肯德基(金杨店),金杨路524号(近枣庄路),121.576228891774,31.251569356595407
肯德基(施湾店),祝桥新镇施新路802弄1号,121.7518242007773,31.14924513760504
肯德基(合庆店),合庆镇庆南路8号,121.71407817511609,31.239775537073484
肯德基(上丰店),上丰路1772-1784号1层,121.67487900604468,31.243213724686957
肯德基(锦绣店),锦尊路499号2号203-204室,121.52986991358351,31.18090222094657
肯德基(凌兆店),灵岩南路1026号(灵岩南路凌兆路),121.49463170706547,31.145868156615713
肯德基(康桥店),康桥镇秀沿路1032-1080号(恒和中路),121.57477271679328,31.13693079309767
肯德基(江镇店),机场镇晨阳路196号,121.7483379285408,31.178365504008237
肯德基(佛罗伦萨小镇),卓耀路58弄1-365号佛罗伦萨小镇F2层L24-25,121.75994140759369,31.197752355927946
肯德基(张江店),张江路625号1层B座(近紫薇路),121.61157866108842,31.20721558300431
肯德基(宝龙城市广场),金海路2505弄宝龙城市广场F2层,121.64926100675544,31.268295966537522
肯德基(巨峰店),巨峰路239号家乐福巨峰路店,121.58896307379979,31.282501219564743
肯德基(新里程店),高清路2671号(近杨高南路)家乐福(上海新里城店)1层,121.52031767911537,31.162648306601355
肯德基(新源店),川沙路4825号浦东商场1层,121.6937060413488,31.19708868609943
肯德基(世博源3区),世博大道1368号世博源3区B层3B49-50,121.48759505802148,31.18635722816672
肯德基(北蔡店),北中路183号1层,121.55127769326474,31.18570987744995
肯德基(东方店),东方路1688-1号,121.51910194658116,31.20635198719946
肯德基(金科店),金科路3057号汇智国际商业中心F1层,121.59733038458468,31.205079279916376
肯德基(万达广场周浦店),年家浜路437号万达商业广场1楼108铺,121.5649164816745,31.116288615510005
肯德基(上海浦东国际机场),启航路300号上海浦东国际机场磁悬浮站2层A01,121.80109076960267,31.154043759842494
肯德基(季景店),外高桥夏碧路261号,121.58246743595534,31.33929321390679
肯德基(苗圃店),杨高中路2128号正大生活馆1层,121.5509730596131,31.23310945303444
肯德基(浦南店),浦东南路800号(近东昌路),121.50959579700162,31.234293667426332
肯德基(传奇广场),碧波路635号传奇广场F1层,121.58033396092762,31.202951840027175
肯德基(龙阳广场),龙阳路2000号1-2层A-1,121.55326456418393,31.20504587263069
肯德基(金汇店),华夏东路2255号浦东商场F1层,121.69029027439629,31.202422838316842
肯德基(银霄路店),银霄路393号百安居1层,121.55473659692103,31.20708241592919
肯德基(北门店),惠南镇北门大街13号(近东门大街),121.75088506345475,31.049467471842576
肯德基(鼎城店),沪南公路509号鼎基商业广场F1层,121.75164497356243,31.043810901282303
肯德基(上海浦东国际机场)9,迎宾大道6000号上海浦东国际机场3F层,121.79972594908939,31.150049581344014
肯德基(高东店),新园路东海岸商业广场1-2层,121.62624843742076,31.32008993049179
肯德基宅急送(长岛餐厅),长岛路1150号,121.5878421764135,31.262854299427318
肯德基(八佰伴店),张杨路501号上海第一八佰伴新世纪商厦F2层,121.5127421258163,31.230618484349332
肯德基精选(上海浦东国际机场),启航路300号上海浦东国际机场2层A07,121.80172632559928,31.153153301477715
肯德基精选(上海第一八佰伴新世纪商厦),张杨路501号上海第一八佰伴新世纪商厦F1层,121.51225045592908,31.23010830465738
肯德基(枫泾店),枫泾镇白牛路280号,121.01907622370096,30.895054370811014
肯德基(蒙山店),卫清西路477号乐购1层,121.33967790080547,30.731002525695626
肯德基(朱泾店),朱泾镇公园路246弄51号,121.15852360404766,30.897975911078376
肯德基(亭枫餐厅),朱泾镇沈浦泾路28号,121.17048099452745,30.89576662185747
肯德基(坂桥店),卫清西路188号百联金山购物中心F1层,121.34323209732621,30.734612315586514
肯德基(金山店),卫清西路858号,121.331395141405,30.73009939627407
肯德基(蒙山北路店),蒙山北路399号,121.33249417776112,30.747898176228254
肯德基(阳光港餐厅),佘山林湖路888号-1阳光港区欢乐商场9号,121.2137894148533,31.096948266264853
肯德基(松江店),中山中路99号,121.22960859860422,31.00877656399614
肯德基(大学城店),文汇路818号,121.19835142642627,31.051648503238187
肯德基(九亭店),九亭大街370-372号,121.3271463609567,31.132505534723006
肯德基(荣乐店),荣乐中路552号大润发1层,121.21516652432094,31.019306356653228
肯德基(上海滩餐厅),佘山林湖路888号上海欢乐谷内,121.21281602623327,31.099761599343058
肯德基(平高店),九峰路118号101室-3商铺,121.22631573180286,31.018396799327498
肯德基(佘山店),佘山镇桃源路194号(近外青松公路),121.18133229029239,31.101912361504823
肯德基(新松江路店),新松江路925号开元地中海商业广场1F层,121.21339871018161,31.040523028815898
肯德基(万达广场)10,广富林路658号万达广场上海松江店2层2002号,121.23738839772818,31.059615374258932
肯德基(九亭站店),沪松公路1501弄麦尚城1层,121.3150503215902,31.138978193173138
肯德基(新桥店),新桥镇新南街377号(近新桥中心路),121.31013570711764,31.064026044714662
肯德基(谷阳店),松汇中路568号上海鹿都商业广场2层,121.23020807410919,31.00700794788992
肯德基(车墩店),车墩镇影维路258弄2号1、2层,121.31184398237923,31.016400542724096
肯德基(金矿镇餐厅),佘山林湖路888号上海欢乐谷内,121.2096713028025,31.097193293152312
肯德基(明兴店),新南路959号绿地金御广场F1层,121.33609989300274,31.090712624702146
肯德基(沪松DT店),荣乐东路605号2层,121.25854698098283,31.01918166265609
肯德基(江川店),泗泾镇江川北路263-273号,121.26859873389834,31.117554712938915
肯德基(叶榭店),求仁路149号1层,121.31426272742782,30.94416576073666
肯德基(思贤店),思贤路778-780号,121.22654782662812,31.031066546109734
肯德基(同乐店),同乐路399号同乐生活广场F1层,121.26520068392995,31.088387642009803
肯德基(城湘店),梅家浜路1500弄101号四季花城三湘财富广场1层,121.22570625750998,31.054615288828238
肯德基(松江亭坊店),涞坊路589号,121.30895164291793,31.153788719963213
肯德基(泗宝店),横港公路18弄63号大润发1层(近泗泾地铁站),121.25512359010084,31.11978286988075
肯德基(万达广场)11,广富林路658号万达广场B1层,121.23969085585415,31.059106247638958
肯德基(绅富店),公园东路1289号富绅商业中心F1层,121.13319317783055,31.154851646667705
肯德基(吾悦广场),淀山湖大道218号吾悦广场1-2层,121.08947782097272,31.146282857447165
肯德基(华徐店),沪青平公路1829号家乐福徐泾店1层,121.27863240743385,31.170236421161395
肯德基(盈港店),青浦镇盈港路555号,121.10836629418631,31.161188231919695
肯德基(徐泾店),徐泾镇育才路257-267号,121.27053795825795,31.171659254147237
肯德基(青浦店),青松路1号邻客公园F1层,121.11240984626858,31.15004086547128
肯德基(嘉松店),沪青平公路2888号百联奥特莱斯广场C区213号,121.22375392168139,31.159727817818506
肯德基(华新店),华新镇华强街239号B02号1-2层,121.2262807499669,31.243113989452485
肯德基(百齐店),南桥镇百齐路228、288号百联南桥购物中心1层,121.48005537948299,30.916435077347597
肯德基(奉城店),镇城大路115号1-2层,121.64272417006946,30.910063476166926
肯德基(西渡店),沪杭公路228号连城商业广场F1层,121.42682930014936,30.991403788885933
肯德基(阳光小区店),南桥镇南亭公路601号大润发(奉贤店)1层,121.44065051940814,30.907918074732063
肯德基(南奉店),南桥镇南奉公路8891号卜蜂莲花1层,121.47187866065552,30.91674767294617
肯德基(南桥店),南桥镇解放路400号,121.45414342050985,30.917330831832412
肯德基(奉贤宝龙城市广场),南桥镇航南公路5639号奉贤宝龙城市广场F1层,121.45854870505562,30.93206265059856
肯德基(乐购店),环城东路1454-1468号Tesco乐购奉贤店1层,121.46474392953054,30.91443179726297
肯德基(崇明店),城桥镇八一路138号(富民街新崇南路),121.39115136029162,31.621562629159747
肯德基(八一店)(装修中),八一路488号崇明影剧院1层,121.39232045671102,31.627936303045026
