,地址,经度,纬度
星巴克咖啡(多媒体谷店),多媒体谷产业园广中西路777弄65号102室,121.43510885746024,31.280229140371794
星巴克咖啡(芮欧百货),南京西路1601号越洋国际广场芮欧百货B210室,121.44312382620829,31.225401804392487
星巴克咖啡(恒汇大厦店),天目西路437-439号恒汇国际大厦1层,121.4478744310221,31.247919156580718
星巴克咖啡(洲际中心店),裕通路100号宝矿洲际商务中心1层,121.44905459380543,31.246226439985698
星巴克咖啡(800秀店),常德路800号800秀(近昌平路),121.43823509793451,31.235533027283072
星巴克咖啡(远中风华店),昌化路68号,121.45043000294224,31.236696764786576
星巴克咖啡(威海路店),威海路433、439号,121.45893044399746,31.22872732721101
星巴克咖啡(吴江路店),吴江路128号(近石门一路),121.45666655716981,31.2322741736766
星巴克咖啡(闸北太平洋店),天目西路218号太平洋百货1层A-1号,121.45243442634535,31.247550333658225
星巴克咖啡(威海路店)(装修中),成都北路333号上海招商局广场104A室,121.46219614621153,31.22980302409954
星巴克咖啡(百联中环购物广场),真光路1288号百联购物广场1层A-L101,121.37828238464014,31.247503212544437
星巴克咖啡(真北乐购店),长征镇铜川路1688号第一层L1026单元,121.38458182848981,31.254119980948673
星巴克咖啡(鸿运大厦店),武宁路503号1层102室,121.410727049783,31.245925683446373
星巴克咖啡(百联中环购物广场)7,真光路1288号百联中环购物广场F3层A-L310,121.37903473384975,31.247047823891325
星巴克咖啡(新邻天地店),武威路1285号新邻天地1层底商,121.3434634606722,31.283145752309107
星巴克咖啡(枣阳路店),金沙江路枣阳路592号,121.3970353971259,31.234157288862075
星巴克咖啡(长风景畔广场店),大渡河路168弄136号长风景畔广场1层101A室,121.38755075158312,31.22410818994539
星巴克咖啡(我格广场店),武宁路101号我格广场F1层L1-SPK2,121.4186578619601,31.239730507592874
星巴克咖啡(中江路店),长征镇中江路889号曹杨商务大厦,121.38711380925449,31.237463192728516
星巴克咖啡(平高国际广场店),安远路128号平高国际广场1层,121.4416999718742,31.24369165283996
星巴克咖啡(苏宁天御店),丹巴路99号苏宁天御国际广场B2座(云岭东路),121.3761274093961,31.225628053618358
星巴克咖啡(白丽广场店),武威路1118号115-116室,121.34352233795671,31.28314564859571
星巴克咖啡(中港汇店),长寿路868号中港汇大厦1层(近武宁南路),121.42608192028621,31.236858986789983
星巴克咖啡(巴黎春天长寿路店),长寿路155号巴黎春天百货F1层,121.43640152917831,31.244549757863155
星巴克咖啡(近铁城市广场店),真北路818号近铁城市广场B2层06-22单元,121.3777110313111,31.23483043136583
